# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
0 -0.997108 -0.00819311 -0.0753853 0.00499632 1.87078 0.0917372 8.50523 0 00000000.png

1 -0.997108 -0.00819311 -0.0753853 0.00499632 1.87078 0.0917372 8.50523 1 00000000.png

2 -0.997108 -0.00819311 -0.0753853 0.00499632 1.87078 0.0917372 8.50523 2 00000000.png

3 -0.997108 -0.00819311 -0.0753853 0.00499632 1.87078 0.0917372 8.50523 3 00000000.png

4 -0.997108 -0.00819311 -0.0753853 0.00499632 1.87078 0.0917372 8.50523 4 00000000.png

5 -0.997108 -0.00819311 -0.0753853 0.00499632 1.87078 0.0917372 8.50523 5 00000000.png

6 -0.997108 -0.00819311 -0.0753853 0.00499632 1.87078 0.0917372 8.50523 6 00000000.png

7 -0.997108 -0.00819311 -0.0753853 0.00499632 1.87078 0.0917372 8.50523 7 00000000.png

8 -0.997108 -0.00819311 -0.0753853 0.00499632 1.87078 0.0917372 8.50523 8 00000000.png

9 -0.997108 -0.00819311 -0.0753853 0.00499632 1.87078 0.0917372 8.50523 9 00000000.png

10 -0.997108 -0.00819311 -0.0753853 0.00499632 1.87078 0.0917372 8.50523 10 00000000.png

11 -0.997108 -0.00819311 -0.0753853 0.00499632 1.87078 0.0917372 8.50523 11 00000000.png

12 -0.997108 -0.00819311 -0.0753853 0.00499632 1.87078 0.0917372 8.50523 12 00000000.png

13 -0.997108 -0.00819311 -0.0753853 0.00499632 1.87078 0.0917372 8.50523 13 00000000.png

14 -0.997108 -0.00819311 -0.0753853 0.00499632 1.87078 0.0917372 8.50523 14 00000000.png

15 -0.997108 -0.00819311 -0.0753853 0.00499632 1.87078 0.0917372 8.50523 15 00000000.png

16 -0.997108 -0.00819311 -0.0753853 0.00499632 1.87078 0.0917372 8.50523 16 00000000.png

17 -0.997108 -0.00819311 -0.0753853 0.00499632 1.87078 0.0917372 8.50523 17 00000000.png

18 -0.997108 -0.00819311 -0.0753853 0.00499632 1.87078 0.0917372 8.50523 18 00000000.png

19 -0.997108 -0.00819311 -0.0753853 0.00499632 1.87078 0.0917372 8.50523 19 00000000.png

20 -0.997108 -0.00819311 -0.0753853 0.00499632 1.87078 0.0917372 8.50523 20 00000000.png

21 -0.997108 -0.00819311 -0.0753853 0.00499632 1.87078 0.0917372 8.50523 21 00000000.png

22 -0.997108 -0.00819311 -0.0753853 0.00499632 1.87078 0.0917372 8.50523 22 00000000.png

23 -0.997108 -0.00819311 -0.0753853 0.00499632 1.87078 0.0917372 8.50523 23 00000000.png

24 -0.997108 -0.00819311 -0.0753853 0.00499632 1.87078 0.0917372 8.50523 24 00000000.png

25 -0.997108 -0.00819311 -0.0753853 0.00499632 1.87078 0.0917372 8.50523 25 00000000.png

26 -0.997108 -0.00819311 -0.0753853 0.00499632 1.87078 0.0917372 8.50523 26 00000000.png

